PRODUCT,High sulphur fuel oil (tonne),Low sulphur fuel oil (tonne),Light fuel oil (1000 litres),Automotive diesel (litre),Premium unleaded 98 RON (litre),Premium unleaded 95 RON (litre),Regular unleaded gasoline (litre),Premium leaded gasoline (litre),Regular leaded gasoline (litre),Liquefied petroleum gas (litre),Natural gas (MWh),Steam coal (tonne),Coking coal (tonne),Electricity (MWh)
TIME
3Q2018,x,x,93192.30,131.00,x,..,152.40,x,x,94.40,..,x,x,27559.64
4Q2018,x,x,96743.60,134.10,x,..,154.80,x,x,96.00,..,x,x,27302.60
1Q2019,x,x,89129.60,124.90,x,..,143.80,x,x,106.38,..,x,x,27421.23
2Q2019,x,x,91884.30,129.00,x,..,148.30,x,x,86.00,..,x,x,27521.94
3Q2019,x,x,90690.50,125.80,x,..,144.70,x,x,94.40,..,x,x,28137.62
4Q2019,x,x,91935.20,127.80,x,..,147.30,x,x,91.80,..,x,x,27483.20
1Q2020,x,x,92094.00,127.80,x,..,147.30,x,x,94.00,..,x,x,26776.38
2Q2020,x,x,78407.40,110.40,x,..,129.30,x,x,82.00,..,x,x,27234.43
3Q2020,x,x,80260.70,114.70,x,..,134.20,x,x,84.50,..,x,x,29582.62
4Q2020,x,x,79620.40,114.60,x,..,133.90,x,x,86.60,..,x,x,25493.45
1Q2021,x,x,85256.40,122.70,x,..,142.30,x,x,96.40,..,x,x,24690.42
2Q2021,x,x,93106.50,132.50,x,..,152.40,x,x,95.20,..,x,x,26430.00
3Q2021,x,x,97559.80,138.20,x,..,158.20,x,x,103.00,..,x,x,27973.74
4Q2021,x,x,105990.70,146.20,x,..,166.40,x,x,112.30,..,x,x,29375.75
1Q2022,x,x,111611.10,151.00,x,..,171.30,x,x,115.70,..,x,x,29816.78
2Q2022,x,x,113398.10,151.80,x,..,171.90,x,x,..,..,x,x,..
3Q2022,x,x,..,..,x,..,..,x,x,..,..,x,x,..
