,PRODUCT,Coal and coal products,Peat and peat products,Oil shale and oil sands,"Crude, NGL and feedstocks",Oil products,Natural gas,Nuclear,Hydro,Geothermal,Solar/wind/other,Biofuels and waste,Heat production from non-specified combustible fuels,Electricity,Heat,Total,Memo: Renewables,"Memo: Coal, peat and oil shale",Memo: Primary and secondary oil,"Memo: Geothermal, solar/wind/other, heat, electricity"
FLOW,TIME
Imports,2000,97455,0,0,219310,53229,63465,0,0,0,0,108,0,0,0,433566,108,97455,272538,0
Imports,2001,99459,0,0,206329,48891,63773,0,0,0,0,115,0,0,0,418566,115,99459,255220,0
Imports,2002,104068,0,0,207959,51888,64472,0,0,0,0,118,0,0,0,428506,118,104068,259847,0
Imports,2003,107287,0,0,210422,51451,68594,0,0,0,0,128,0,0,0,437881,128,107287,261872,0
Imports,2004,116788,0,0,207198,51328,67978,0,0,0,0,128,0,0,0,443421,128,116788,258526,0
Imports,2005,111375,0,0,213418,51060,67861,0,0,0,0,124,0,0,0,443838,124,111375,264478,0
Imports,2006,112212,0,0,204310,48677,74169,0,0,0,0,123,0,0,0,439490,123,112212,252987,0
Imports,2007,117038,0,0,207339,44968,80015,0,0,0,0,122,0,0,0,449481,122,117038,252307,0
Imports,2008,114761,0,0,200033,42639,79817,0,0,0,0,143,0,0,0,437392,143,114761,242672,0
Imports,2009,101499,0,0,180626,40976,77724,0,0,0,0,158,0,0,0,400984,158,101499,221602,0
Imports,2010,115221,0,0,183044,44985,82653,0,0,0,0,333,0,0,0,426236,333,115221,228029,0
Imports,2011,108075,0,0,179440,49680,97408,0,0,0,0,325,0,0,0,434927,325,108075,229120,0
Imports,2012,113099,0,0,180374,52475,101702,0,0,0,0,328,0,0,0,447978,328,113099,232849,0
Imports,2013,122608,0,0,180000,47086,102708,0,0,0,0,417,0,0,0,452819,417,122608,227085,0
Imports,2014,117388,0,0,167323,45799,104281,0,0,0,0,540,0,0,0,435331,540,117388,213122,0
Imports,2015,118883,0,0,166716,44888,97838,0,0,0,0,729,0,0,0,429055,729,118883,211605,0
Imports,2016,116451,0,0,164107,40718,99216,0,0,0,0,925,0,0,0,421418,925,116451,204825,0
Imports,2017,116488,0,0,159161,44690,98213,0,0,0,0,1184,0,0,0,419736,1184,116488,203851,0
Imports,2018,114776,0,0,152169,43774,94725,0,0,0,0,1384,0,0,0,406828,1384,114776,195943,0
Imports,2019,112588,0,0,148395,42121,89971,0,0,0,0,1650,0,0,0,394726,1650,112588,190517,0
Imports,2020,103913,0,0,117138,43968,89830,0,0,0,0,2000,0,0,0,356849,2000,103913,161106,0
Imports,2021,105240,0,0,129487,44416,86919,0,0,0,0,2140,0,0,0,368203,2140,105240,173903,0
Exports,1960,0,0,0,0,-544,0,0,0,0,0,0,0,0,0,-544,0,0,-544,0
Exports,1961,0,0,0,0,-596,0,0,0,0,0,0,0,0,0,-596,0,0,-596,0
Exports,1962,-70,0,0,0,-832,0,0,0,0,0,0,0,0,0,-902,0,-70,-832,0
Exports,1963,-70,0,0,0,-988,0,0,0,0,0,0,0,0,0,-1058,0,-70,-988,0
Exports,1964,-70,0,0,0,-1273,0,0,0,0,0,0,0,0,0,-1343,0,-70,-1273,0
Exports,1965,-70,0,0,0,-1605,0,0,0,0,0,0,0,0,0,-1675,0,-70,-1605,0
Exports,1966,0,0,0,0,-1577,0,0,0,0,0,0,0,0,0,-1577,0,0,-1577,0
Exports,1967,0,0,0,0,-1674,0,0,0,0,0,0,0,0,0,-1674,0,0,-1674,0
Exports,1968,0,0,0,0,-1634,0,0,0,0,0,0,0,0,0,-1634,0,0,-1634,0
Exports,1969,0,0,0,0,-2396,0,0,0,0,0,0,0,0,0,-2396,0,0,-2396,0
Exports,1970,0,0,0,0,-1961,0,0,0,0,0,0,0,0,0,-1961,0,0,-1961,0
Exports,1971,-204,0,0,0,-1922,0,0,0,0,0,0,0,0,0,-2126,0,-204,-1922,0
Exports,1972,-204,0,0,0,-744,0,0,0,0,0,0,0,0,0,-948,0,-204,-744,0
Exports,1973,-408,0,0,0,-3086,0,0,0,0,0,0,0,0,0,-3494,0,-408,-3086,0
Exports,1974,-483,0,0,0,-5050,0,0,0,0,0,0,0,0,0,-5532,0,-483,-5050,0
Exports,1975,-367,0,0,0,-1241,0,0,0,0,0,0,0,0,0,-1608,0,-367,-1241,0
Exports,1976,-381,0,0,0,-453,0,0,0,0,0,0,0,0,0,-834,0,-381,-453,0
Exports,1977,-368,0,0,0,-496,0,0,0,0,0,0,0,0,0,-864,0,-368,-496,0
Exports,1978,-738,0,0,0,-732,0,0,0,0,0,0,0,0,0,-1470,0,-738,-732,0
Exports,1979,-1548,0,0,0,-533,0,0,0,0,0,0,0,0,0,-2081,0,-1548,-533,0
Exports,1980,-1445,0,0,0,-486,0,0,0,0,0,0,0,0,0,-1931,0,-1445,-486,0
Exports,1981,-1371,0,0,0,-715,0,0,0,0,0,0,0,0,0,-2085,0,-1371,-715,0
Exports,1982,-1832,0,0,0,-492,0,0,0,0,0,0,0,0,0,-2324,0,-1832,-492,0
Exports,1983,-2208,0,0,0,-443,0,0,0,0,0,0,0,0,0,-2652,0,-2208,-443,0
Exports,1984,-2572,0,0,0,-591,0,0,0,0,0,0,0,0,0,-3163,0,-2572,-591,0
Exports,1985,-2758,0,0,0,-655,0,0,0,0,0,0,0,0,0,-3413,0,-2758,-655,0
Exports,1986,-2732,0,0,0,-1476,0,0,0,0,0,0,0,0,0,-4208,0,-2732,-1476,0
Exports,1987,-2927,0,0,0,-1879,0,0,0,0,0,0,0,0,0,-4805,0,-2927,-1879,0
Exports,1988,-2023,0,0,0,-966,0,0,0,0,0,0,0,0,0,-2989,0,-2023,-966,0
Exports,1989,-1750,0,0,0,-2377,0,0,0,0,0,0,0,0,0,-4127,0,-1750,-2377,0
Exports,1990,-1354,0,0,0,-3726,0,0,0,0,0,0,0,0,0,-5080,0,-1354,-3726,0
Exports,1991,-1984,0,0,0,-5316,0,0,0,0,0,0,0,0,0,-7300,0,-1984,-5316,0
Exports,1992,-2205,0,0,0,-6072,0,0,0,0,0,0,0,0,0,-8278,0,-2205,-6072,0
Exports,1993,-2492,0,0,0,-7506,0,0,0,0,0,0,0,0,0,-9999,0,-2492,-7506,0
Exports,1994,-2342,0,0,0,-7787,0,0,0,0,0,0,0,0,0,-10130,0,-2342,-7787,0
Exports,1995,-2481,0,0,0,-9050,0,0,0,0,0,0,0,0,0,-11531,0,-2481,-9050,0
Exports,1996,-2045,0,0,0,-8020,0,0,0,0,0,0,0,0,0,-10065,0,-2045,-8020,0
Exports,1997,-1939,0,0,0,-9014,0,0,0,0,0,0,0,0,0,-10954,0,-1939,-9014,0
Exports,1998,-2280,0,0,0,-6852,0,0,0,0,0,0,0,0,0,-9132,0,-2280,-6852,0
Exports,1999,-1980,0,0,0,-5282,0,0,0,0,0,0,0,0,0,-7262,0,-1980,-5282,0
Exports,2000,-1867,0,0,0,-4474,0,0,0,0,0,0,0,0,0,-6342,0,-1867,-4474,0
Exports,2001,-1730,0,0,0,-4868,0,0,0,0,0,-1,0,0,0,-6599,-1,-1730,-4868,0
Exports,2002,-2328,0,0,0,-3861,0,0,0,0,0,-5,0,0,0,-6194,-5,-2328,-3861,0
Exports,2003,-1870,0,0,0,-4023,0,0,0,0,0,-6,0,0,0,-5898,-6,-1870,-4023,0
Exports,2004,-1465,0,0,0,-4679,0,0,0,0,0,-2,0,0,0,-6145,-2,-1465,-4679,0
Exports,2005,-1179,0,0,0,-8990,0,0,0,0,0,-1,0,0,0,-10170,-1,-1179,-8990,0
